nickname;blurb
bozo;Amber heard is getting abused and nobody believes her
Yolanda Galindo46;Mexico stands with Johnny depp!!!!!!!!
Mila spano;Amber heard should go to jail
Melanne;I wanna see what Johnny is drawing
sidarozveren;People who support amber exist???
hailey b raps;They’re talking about amber because she shit on the chair and they don’t know what to do now
JOHNNIE Prideaux;I stand for Johnny Depp
ariruiz735;ya valió madres amber
nocomment;Justice For Johnny Depp
Rxssly_sama;Johnny busy drawing something
Dj HardBeatz;Ambers got skids pass it on
Maiki;HE SLAPED ME ACROSS THE FACE AND I TURNED TO HIM JOHNNY YOU JUST HIT. E YOU JUST HIT ME!
seeteedominique;JONNYYYY DEPPPP FOR LIFEEE
DawsonBlum;Amber you getting kinda nervous over there?
syaoutfits;johnny’s winning right? can’t watch its giving me anxiety
welcome;team Johnny all the way
Delilah;DID AMBER STEP ON THEBEE?
JessieLately;How many days or weeks does each person get??? Johnny Depp has already been.
christy agnew;Watch amber fold in her lies in the cross examination
Izzy beeby;Not Johnny just chillin while amber stares
bozo;Amber herd is getting abused
Gemini89;Amber about to get destroyedddddddddddddddddd
gabriel farfan;johnny is still drawing
nezuko;I swear Johnny hit mee
Idk what I’m doing here;I wonder what Johnny is drawing
Kendra_is_me;I LOVE YOU JOHNNY WHOOOOO
Eqco;What’s Johnny looking at?
Mark A. Ashby;Is it rainy I don’t see the rain coming down oh wait Amber said it was more b/S from her
Em;I thought Johnny already won
N0e11e;Amber be thinking of what she should say
Michael Butterworth;that amber came out sideways
Tik Toker;Amber thinking of who she’s going to shit on next
Mohammed Nazeem;TEAM AMBER BAHAHAHAHAHAHAHA JUST KIDDING TEAM JOHNNY ALL DAY EVERYDAY
user1391068431203;TEAM JOHNNY DEPP!!!!!!
e x p l o i t;Why amber breathing in mic ?
no;Ppl keep saying “my dog stepped on a bee” cos Amber said that in court
user7129475430515;The reality Amber no one had ever heard of you, you got with Johnny for Hollywood connections
user2512413915381;I said Johnny you just hit me
Mvilla208;Johnny’s attorneys are gangster!!!
user4789347429173;This is just what it sounds like when amber talks
swagmoney;and i said johnny, you hit me.
D. Beatsmith;"Team Amber" lol. Birds of a narcissistic feather.
idek;Ppl that say team amber are ..
Nane Mur;JOHNNY BROTHAAA I GOT THIS
Key;Team Amberrrrrr SIKEEEEEEEEEE
userMarie;People forget that AMBER HEARD identifies as a man, and as such, her testimony comes across as confu
Charlie/Charlotte;Is amber on pause or something
Junior ding bat;Who here likes Johnny Depp bc I definitely do
damian sanchez;Amber is going to beat up the judge
sofu;is it awkward to seat right in front of Johnny?
Jessica;HAHAHAHA AMBER GORL… take ur coke and leave
John Daitch;amber on top!!!! oh wait for got april fools alr past
itsmehayley8;She keeps glancing at Johnny
Mary Lynn Vrastil;everything stopped in 2019 Amber
Z;Say Justice for Johnny  if ur team Johnny
tracyweaverhuntin;he not gonna look at you Amber!! Stop looking at him. lol
camila besse;team Amber ???? as they can ? a lot of madness
I’m cool;TEAM JOHNNY DEP FOR LIFE
Guy who’s always trying toAct;Justice for Johnny #JFJ
itsmehkayde2;Johnny dies do some amazing actions
4Town;Justice for Jonny depp
Simseline;Johnny clean your nose when she lies.
gtlady;What amber heard headed
ClintBeastWood33;Johnny should sell his court room art!!!
DominicAndrewBlack;JUSTICE FOR JOHNNY! HAPPY HOURS IS ANYTIME!
user7129475430515;Amber wants to live for free, to stay in a penthouse cheat with men and chicks her plan, for free
Jodi;amber keeps looking at Johnny
Delilah;Johnny is drawing his long lost ship
M_thepekbull;Lawyers: intense legal talk. Johnny: I think this drawing could use a better shade of blue
Snap:lexiebutler2022;Amber looks like constapated crocodile
user5353513116644Sandy;Ambers team fighting Scared
Christina Bilden;Is anyone team Amber?
dopamine;can someone tell me what amber did
Dilara Bibi;No matter what Johnny will have a nice art exhibition
Kendra_is_me;JOHNNY YOU JUST HIT ME
My Boozy Kitchen;she keeps glancing at Johnny
Mariah;She keeps looking at Johnny
nothing;Johnny is going to win I see
AuroraleA;Amber lookin for a way to get a sniff
itsmehayley8;She KEEPS glancing at Johnny
user1014572348579;#justiceforjohnnydepp
henry;Johnny you slapped me
avatarunus;Why does she keep looking at Johnny
Kait;So we all here to listen to more of ambers BS???? Or is that just me
ronaldo_arispe;CH!NG4 TU M4DRE AMBER
theia0110;i want amber to cry so i can feel joy
perrine_delaroche;justice for Johnny Depp
macy;depps desk area is the funniest
Hayila, Hayila Malfoy.;OMG JOHNNYS RIGHT THERE
leii;Amber just looking every minute or so
will;how much prison time is amber getting?
Davianna <3;Whoever is team amber is delusional
Kendra_is_me;JOHNNY YOU JUST HIT ME
carterlynch188;Amber shit in his bed go Johnny
mrsxcarbajal;Look at amber looking like she’s from the hunger games
Danoch81;team johnny but Amber is hot AF
:);MALAKISMENH AMBERRR PANE GAMHSOU PERASE O POULOS K EIPE NA TON PAREIS ELA LIGO PANE K GAMHSOU MWRH
user7092565889690;come and make pirate 6 johnny
userMarie;People forget that AMBER HEARD identifies as a man, and as such, her testimony is confused
xshadowxwhispererx;that court typist is sending dirty looks to amber lol
What’s up!;Johnny all the way!!!
Pig_Benis;Johnny Playing cod rn
samayahrashid20;type j if y support Johnny
B W;She keeps looking at Johnny
emmesstROBLOXgod;I was walking out the bedroom he slapped me, I turned to look at him and said Johnny u hit me you
FoxyKlapzVr;I can’t tell you how much of a waste of time this is to Johnny
.;Ambers getting nervous
Shanty Elizondo;cuando se termina esto para que ya declaren culpable a Amber
69.your.fav.Pisces.69;TEAM AMBER !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
justbored.em;Amber just admit it :/
Uni.puff07;Amber has purgered herself on almost everything she has said in the entire case
Lisa Sez;100,000 PEEPS WATCHING AND PRAYING For JOHNNY
glenandval22.22;Ambers light is burning out
Zoar Vasquez;Who is team amber bruh
Duaa;check out my impression of amber heard
selAHH;why amber look like that
Lucy Nolan;Is this some of the jury reflecting in Johnnys computer
Rigs;is there anyone who actually believes what Amber says
What the dog doin;What is Johnny doing?
jj ;WHO TF JUST SAID TEAM AMBER???
bri<3;smh amber is ridiculous
Shannon Baxter;When does johnnys team get to square up amber?
Chuck;When is the last court! Wanna see Mr.Depp win already
The Gazette;clearly amber is saddistic its her lifestyle ig
IsthisJuneBug;AMBERS LAST TIME SHE WILL BE ON TV
perrine_delaroche;justice for Johnny Depp
Jessica;I want to see the Johnny Depp
savareyes;@kayxlarblx it must be another amber
a little rose Sapling.;TELL ME JOHNY DEPP WON
Chelsie Salvador;I can’t imagine being Johnny right now
Stephanie;Amber has had to learn that she’s not in control of everything that happens around her
Maria Fernanda Ig850;#JUSTICEFORJHONNYDEEP #AMBERHEARDISALIAR
Nano!;HELP THE WOMAN LOOKING AT AMBER
Chap;Johnny playing a video game?
A preppy Account6;Someone just said team Amber
Mimi;The lady just casually staring amber down
TNTphoto;Whos Johnny depp ?????
Navi;johnny playing x and o by himself
Jalynn westra;Dis still goin on goooooooo Johnny
Tiktoker;someone really said team amber what r u on
claybo2002;amber heard a baddie no cap
Kendra_is_me;AMBER HEARD:THERES NO NEED FOR THAT
Hitman;He slapped me across the face, I turned to look at him at him I said Johnny you hit me you just hit
DogBlox;amber is choking on my ballz
Francesca;what is Johnny watching?
Alyssah Sites;The lady looking at Amber records every word said and types them as well
sdij_;What is Johnny watching
danny young;go Jonny but I would let Amber shit on me
Tiger Saiyan830;Johnny is  playing Fortnite
g;is she staring at amber?
non of your business;amber better call saul
livia;cadê as variedades de penteados amber?
Mia;Ambers team finished now cross
Nalah;Imagine having the name of amber heard
Virgilio Echeverria;Who slidin for Johnny
Beyourownmuse1;Let this be a lesson to every liar out there AMBER
user4283117607595;And she’s trying to do eye contact to Johnny
people2people2;I poooed on Johnny’s side
Str8razer;amber looks like Dr.Evil from Austin powers in that suit.
baby_liz12;Do you like jazz amber??
Jessica;Amber give up the act
F_Up_Hector;Johnny Depp is better
Snkrsconnectmcr;Is she looking at amber?
Jen;I love how Johnny doesn’t care
CatherineRAuthor;Delay tactics. But I love it Ambers having to sit there
Sabrina Fry-may;@makeupbymathandi it’s all about Johnny
Amanda Morgan;What is on Johnnys  screen ??
minbunwu;JOHNNY YOU JUST HIT ME
Hailie Ortiz;I wanna see what Johnny drew
Kyle;Why is the lady sitting staring at amber help
ryan_s;Justice for Amber Heard
LongschlongSilvers;DAMN JOHNNY GOT THE ZYNS? LETSSS GO
Chava Dos;No PR team can help Amber
Jayde Alvarado;Amber what did you have in that damn TISSUE
Skyylin;My bee. Maybe. Guilty Amber!
Fede117;johnny playing world of warcraft
Scott Elwell;is amber single or what?
..;Awww what is Johnny doing
F_Up_Hector;Johnny Depp is better
Emon;Amber is guilty, not depp
Moo Prep;Wait did Johnny dep win yet?
Ann (Ana);Does amber dress herself?
Janet Mays;are those paints in front of Johnny?
BatmomsUnballings  Batmom;Oh wow I just found this..wow cool Can thry point Camera  to Johnny
FadiaBernoty;<3 chain if ur with Johnny
user690686;My dog stepped on a bee….. JOHNNY DEEP SHALL BE FREE!!!!!! #team Johnny
MWMontanari;can they put POTC on the tv for Johnny?
jamiemoore3975;If amber buss case I’m riding out on her
Zoe;MY DOG STEPPED ON A BEE U ABUSED JOHNNY TEE HEE
Abbie brown;Just saw a comment saying team amber EW
Sí Ni Gilláin;Poor Johnny sitting there alone across from her
macdav99090;justice for johnny depp
Mia123;When will amber be getting asked questions by Johnny lawyers
Bear;JUSTICE FOR JOHNNYYYYYYYY DEPP
bri<3;who ever said team amber , you probably cheat too
kill;yowww johnny deep my artis fav
Viktorija T;Johnny is watching Russia Today
Jessica;I love you too Johnny
Khaby;Johnny looks like amberrr
Storm;Like Jesus how much longer of this shit.. ambers way of stealing time?
Francesca;what is Johnny watching?
Ralph Carbone;Amber has had more air time than her entire career!!!
Bubblegum;Justice for Johnny depp
._.;Can someone tell me when the tell amber she has to go to jail?
Ida51;Watch out Amber, Camille is coming
Fitman;Why does Johnny keep looking down guilty
Kco;She keeps looking at Johnny
user8653425822238;johnny team probably asked one question and her team got scared
Stephanie Lally88;reckon ambers the most hated woman on the planet right now!!
annelayne946;after this Johnny needs 2 mega pints lol
JustChillenMan;JOHNNNNY DEPPPP PLSSS
Madison;JUSTIC FOR JOHNNY!!!!!
grace kirby ;JUSTICE FOR JOHNNY!!!!
random;its johnny dep whos com
Non-toxic marker;Johnny(blinks) OMG OWCH WAAAA
Andrew Burnette;Amber Heard is still attractive, now I get why women go after serial killers.
hades<3;JOHNNY BEING ENTERTAINED I’M CRYING AHAH
Mary;Johnny. We love you and are all here For you love
Shannon Baxter;@roxyanddakotalittersis yes up to 10 years if found johnnys wins for lying on the stand
Penny Harper;Team depp all the way
perrine_delaroche;Johnny Depp i love you
undefined;johnny deep has 90 movies and you a aquaman
dotank;GO AMBER strongest woman
Esther+Mila;#justiceforjohnnydepp
Fitman;Johnny has no emotion
alex;amber been doin bumps all day
Jen;Johnnys screen has the reflection of people sitting behind him
Papi.Chulo666;Amber makes Putin look like a good person
Vie/Stwa;You guys wanna know what’s in the jar of dirt? Ambers career
hannahsims475;Is the court typist just staring at Amber?
if.you.follow.i.follow.0;if u don’t like johnny leave NOW
ryan_s;Justice for Amber Heard
Aye bae bae;Amber I feel bad at for you
Julie;Gotha Johnny from Denmark
Vaughn Botes;no one likes Amber heard!!!!!!!!!!!!!!!!
mike jones141;justice for amber = sentencing
Emely;Team amber is no Team, there’s only Team Johnny sorry
Scraps&Zero;THIS IS A JOHNNY DEPP HOUSE!!
shell_w10;we all love you Johnny x
Lilo8;I think amber is obsessed with carpets she always be bringing them up
Ashleigh Johnston;Is Johnny’s lawyers up yet
Linda.Tuimalo;WHO TF SAID TEAM AMBER LIKE WHATT IM TEAM JOHHNY ALL DAY A
I Follow Back;Amber is freaking out guaranteed
Dog Unleashed;her outfit is similar like Johnny
Jamie Kirby;Anyone who believes Amber they need their head examined, j/s
Lisa Silvester McKen;Is Johnny seeing anyone?
king nia;team black pearl #Johnny
AnimeFanGuy;Justice for Johnny Depp
Scott Harris478;why is this not finished yet, pay Depp and move on
*;TEAM JOHNNY WHETHER HE WINS OR NOT
Vinh Phong;When are we going to find one piece Johnny???
p.sivam;we can see johnny dreaming on his screen
thisappisstoopid2;I wonder what Johnny is drawing
Sam.Htxx;Lady on computer mugging amber
Amelia Carver;I hope Johnny will win
lolo;ik y’all didn’t jus say team amber
your friendly bolo;and I turn to look at him and I say jOhNny yOu hIt mE yOu jUst
Danielle Tatie Gendr;Team Johnny!!! But can you stop with the bee please . We All know the joke !! Please !
Em6?;Depp is playing gta v
Mathew;amber heard a deserves better
Kyle.M;ayyeeeeeeee its Johnny
adncinthya;johnny.  te admiro...
